draw_index,ratio
546,2.386705418999842
547,2.5600897363307813
548,1.2265350721563697
549,2.5600897363307813
550,2.5600897363307813
551,2.4411294876024887
552,2.145921636068585
553,2.145921636068585
554,2.145921636068585
555,2.386705418999842
556,2.145921636068585
557,2.145921636068585
558,2.5600897363307813
559,2.4411294876024887
560,2.4411294876024887
561,2.4411294876024887
562,2.4411294876024887
563,2.4411294876024887
564,2.4411294876024887
565,2.5600897363307813
566,2.145921636068585
567,2.145921636068585
568,2.386705418999842
569,2.145921636068585
570,2.145921636068585
571,2.5600897363307813
572,2.145921636068585
573,2.386705418999842
574,2.145921636068585
575,2.145921636068585
576,2.5600897363307813
577,2.386705418999842
578,2.145921636068585
579,2.145921636068585
580,2.5600897363307813
581,2.386705418999842
582,2.386705418999842
583,2.5600897363307813
584,2.145921636068585
585,2.5600897363307813
586,2.5600897363307813
587,2.4411294876024887
588,2.4411294876024887
589,2.4411294876024887
590,2.4411294876024887
591,2.4411294876024887
592,2.4411294876024887
593,2.5600897363307813
594,1.9566987372189943
595,1.9566987372189943
596,2.386705418999842
597,1.9566987372189943
598,1.9566987372189943
599,2.5600897363307813
600,1.9566987372189943
601,2.386705418999842
602,1.9566987372189943
603,1.9566987372189943
604,2.5600897363307813
605,2.386705418999842
606,1.9566987372189943
607,1.9566987372189943
608,2.5600897363307813
609,2.386705418999842
610,2.386705418999842
611,2.5600897363307813
612,1.9566987372189943
613,2.5600897363307813
614,2.5600897363307813
615,2.4411294876024887
616,2.4411294876024887
617,2.4411294876024887
618,2.4411294876024887
619,2.4411294876024887
620,2.5600897363307813
621,2.4411294876024887
622,2.4411294876024887
623,2.4411294876024887
624,2.4411294876024887
625,2.5600897363307813
626,2.4411294876024887
627,2.4411294876024887
628,2.4411294876024887
629,2.5600897363307813
630,2.4411294876024887
631,2.4411294876024887
632,2.5600897363307813
633,2.4411294876024887
634,2.5600897363307813
635,2.5600897363307813
636,1.6711159158588083
637,2.386705418999842
638,1.6711159158588083
639,1.6711159158588083
640,2.5600897363307813
641,2.386705418999842
642,1.2233359958230854
643,1.2265350721563697
644,2.5600897363307813
645,2.386705418999842
646,2.386705418999842
647,2.5600897363307813
648,1.2265350721563697
649,2.5600897363307813
650,2.5600897363307813
651,2.386705418999842
652,1.6711159158588083
653,1.6711159158588083
654,2.5600897363307813
655,2.386705418999842
656,2.386705418999842
657,2.5600897363307813
658,1.6711159158588083
659,2.5600897363307813
660,2.5600897363307813
661,2.386705418999842
662,2.386705418999842
663,2.5600897363307813
664,1.2265350721563697
665,2.5600897363307813
666,2.5600897363307813
667,2.386705418999842
668,2.5600897363307813
669,2.5600897363307813
670,2.5600897363307813
671,2.145921636068585
672,1.9566987372189943
673,1.9566987372189943
674,1.9566987372189943
675,2.145921636068585
676,1.9566987372189943
677,1.9566987372189943
678,2.145921636068585
679,2.145921636068585
680,2.145921636068585
681,2.145921636068585
682,2.386705418999842
683,2.145921636068585
684,2.145921636068585
685,2.4411294876024887
686,1.6711159158588083
687,1.2233359958230854
688,2.145921636068585
689,1.0568203148873347
690,1.2265350721563697
691,2.145921636068585
692,1.6711159158588083
693,2.145921636068585
694,1.6711159158588083
695,1.6711159158588083
696,2.145921636068585
697,2.145921636068585
698,1.2233359958230854
699,1.2265350721563697
700,2.145921636068585
701,2.145921636068585
702,2.145921636068585
703,2.386705418999842
704,1.2265350721563697
705,2.145921636068585
706,2.145921636068585
707,1.9566987372189943
708,1.9566987372189943
709,1.9566987372189943
710,2.386705418999842
711,1.9566987372189943
712,1.9566987372189943
713,2.4411294876024887
714,1.6711159158588083
715,1.2233359958230854
716,1.9566987372189943
717,1.0568203148873347
718,1.2265350721563697
719,1.9566987372189943
720,1.6711159158588083
721,1.9566987372189943
722,1.6711159158588083
723,1.6711159158588083
724,1.9566987372189943
725,1.9566987372189943
726,1.2233359958230854
727,1.2265350721563697
728,1.9566987372189943
729,1.9566987372189943
730,1.9566987372189943
731,2.386705418999842
732,1.2265350721563697
733,1.9566987372189943
734,1.9566987372189943
735,1.6711159158588083
736,1.2233359958230854
737,2.386705418999842
738,1.0568203148873347
739,1.2265350721563697
740,2.4411294876024887
741,1.6711159158588083
742,2.386705418999842
743,1.6711159158588083
744,1.6711159158588083
745,2.4411294876024887
746,2.386705418999842
747,1.2233359958230854
748,1.2265350721563697
749,2.4411294876024887
750,2.386705418999842
751,2.386705418999842
752,2.4411294876024887
753,1.2265350721563697
754,2.4411294876024887
755,2.4411294876024887
756,1.2233359958230854
757,1.6711159158588083
758,1.0568203148873347
759,1.2265350721563697
760,1.6711159158588083
761,1.2233359958230854
762,1.0568203148873347
763,1.2233359958230854
764,1.2233359958230854
765,1.0568203148873347
766,1.2265350721563697
767,2.386705418999842
768,1.0568203148873347
769,1.0568203148873347
770,1.2265350721563697
771,1.6711159158588083
772,1.2233359958230854
773,1.2265350721563697
774,1.6711159158588083
775,1.6711159158588083
776,1.6711159158588083
777,2.386705418999842
778,1.2265350721563697
779,1.6711159158588083
780,1.6711159158588083
781,1.2233359958230854
782,1.2265350721563697
783,2.386705418999842
784,1.2233359958230854
785,1.2233359958230854
786,1.2265350721563697
787,1.2265350721563697
788,2.386705418999842
789,2.386705418999842
790,1.2265350721563697
791,2.145921636068585
792,2.145921636068585
793,2.145921636068585
794,2.386705418999842
795,2.145921636068585
796,2.145921636068585
797,2.4411294876024887
798,1.9566987372189943
799,1.9566987372189943
800,2.145921636068585
801,1.9566987372189943
802,1.9566987372189943
803,2.145921636068585
804,1.9566987372189943
805,2.145921636068585
806,1.9566987372189943
807,1.9566987372189943
808,2.145921636068585
809,2.145921636068585
810,1.9566987372189943
811,1.9566987372189943
812,2.145921636068585
813,2.145921636068585
814,2.145921636068585
815,2.386705418999842
816,1.9566987372189943
817,2.145921636068585
818,2.145921636068585
819,2.145921636068585
820,2.145921636068585
821,2.386705418999842
822,2.145921636068585
823,2.145921636068585
824,2.4411294876024887
825,2.145921636068585
826,2.386705418999842
827,2.145921636068585
828,2.145921636068585
829,2.4411294876024887
830,2.386705418999842
831,2.145921636068585
832,2.145921636068585
833,2.4411294876024887
834,2.386705418999842
835,2.386705418999842
836,2.4411294876024887
837,2.145921636068585
838,2.4411294876024887
839,2.4411294876024887
840,1.6711159158588083
841,2.145921636068585
842,1.6711159158588083
843,1.6711159158588083
844,2.145921636068585
845,2.145921636068585
846,1.2233359958230854
847,1.2265350721563697
848,2.145921636068585
849,2.145921636068585
850,2.145921636068585
851,2.386705418999842
852,1.2265350721563697
853,2.145921636068585
854,2.145921636068585
855,2.145921636068585
856,1.6711159158588083
857,1.6711159158588083
858,2.145921636068585
859,2.145921636068585
860,2.145921636068585
861,2.386705418999842
862,1.6711159158588083
863,2.145921636068585
864,2.145921636068585
865,2.145921636068585
866,2.145921636068585
867,2.386705418999842
868,1.2265350721563697
869,2.145921636068585
870,2.145921636068585
871,2.145921636068585
872,2.386705418999842
873,2.386705418999842
874,2.145921636068585
875,1.9566987372189943
876,1.9566987372189943
877,2.386705418999842
878,1.9566987372189943
879,1.9566987372189943
880,2.4411294876024887
881,1.9566987372189943
882,2.386705418999842
883,1.9566987372189943
884,1.9566987372189943
885,2.4411294876024887
886,2.386705418999842
887,1.9566987372189943
888,1.9566987372189943
889,2.4411294876024887
890,2.386705418999842
891,2.386705418999842
892,2.4411294876024887
893,1.9566987372189943
894,2.4411294876024887
895,2.4411294876024887
896,1.6711159158588083
897,1.9566987372189943
898,1.6711159158588083
899,1.6711159158588083
900,1.9566987372189943
901,1.9566987372189943
902,1.2233359958230854
903,1.2265350721563697
904,1.9566987372189943
905,1.9566987372189943
906,1.9566987372189943
907,2.386705418999842
908,1.2265350721563697
909,1.9566987372189943
910,1.9566987372189943
911,1.9566987372189943
912,1.6711159158588083
913,1.6711159158588083
914,1.9566987372189943
915,1.9566987372189943
916,1.9566987372189943
917,2.386705418999842
918,1.6711159158588083
919,1.9566987372189943
920,1.9566987372189943
921,1.9566987372189943
922,1.9566987372189943
923,2.386705418999842
924,1.2265350721563697
925,1.9566987372189943
926,1.9566987372189943
927,1.9566987372189943
928,2.386705418999842
929,2.386705418999842
930,1.9566987372189943
931,1.6711159158588083
932,2.386705418999842
933,1.6711159158588083
934,1.6711159158588083
935,2.4411294876024887
936,2.386705418999842
937,1.2233359958230854
938,1.2265350721563697
939,2.4411294876024887
940,2.386705418999842
941,2.386705418999842
942,2.4411294876024887
943,1.2265350721563697
944,2.4411294876024887
945,2.4411294876024887
946,2.386705418999842
947,1.6711159158588083
948,1.6711159158588083
949,2.4411294876024887
950,2.386705418999842
951,2.386705418999842
952,2.4411294876024887
953,1.6711159158588083
954,2.4411294876024887
955,2.4411294876024887
956,2.386705418999842
957,2.386705418999842
958,2.4411294876024887
959,1.2265350721563697
960,2.4411294876024887
961,2.4411294876024887
962,2.386705418999842
963,2.4411294876024887
